NO,DATE,5cm_SM,10cm_SM,20cm_SM,40cm_SM,5cm_ST,10cm_ST,20cm_ST,40cm_ST,Number of nodes used to derive the daily mean of the sample area,Number of observations used to summarize the half hour data into the daily mean,T_mean,T_min,T_max,Po_mean,Po_min,Po_max,P_mean,P_min,P_max,Pa_mean,Pa_min,Pa_max,U_mean,U_min,U_max,Ff_mean,Ff_min,Ff_max,ff10_mean,ff10_min,ff10_max,ff3_mean,ff3_min,ff3_max,Tn_mean,Tn_min,Tn_max,Tx_mean,Tx_min,Tx_max,Td_mean,Td_min,Td_max,RRR_sum,value,cost,dry_risk
1,2020-08-07,0.1812155,0.2177312,0.1729453,0.1411282,22.08083,22.14167,21.88333,21.12833,10,48,23.1125,17.0,27.1,735.075,733.9,736.3,755.5,754.3,756.7,-0.225,-1.0,0.5,70.75,49.0,99.0,1.5,0,3,0.0,0.0,0.0,6.875,6.0,9.0,17.087500000000002,16.8,19.1,29.1375,28.7,29.4,16.9875,15.5,19.0,0.0,0.1729453,0.0770546999999999,1
2,2020-08-08,0.1814922,0.2177348,0.1724748,0.1407014,22.59417,22.26688,21.65604,20.80417,10,48,25.3125,18.4,30.8,730.525,729.2,732.7,750.7,749.3,753.1,-0.5625,-1.3,0.2,70.125,43.0,95.0,1.875,0,3,0.0,0.0,0.0,7.0,4.0,9.0,17.725,16.8,18.0,30.1875,28.7,31.6,18.875,16.8,21.2,0.0,0.1724748,0.0775251999999999,1
3,2020-08-09,0.1818115,0.2188987,0.1732135,0.1407901,23.30604,22.99479,22.19271,20.86979,10,48,24.2875,21.8,27.5,728.25,727.8,728.8,748.35,748.0,748.9,-0.1374999999999999,-0.6,0.4,84.375,68.0,97.0,2.375,1,4,0.0,0.0,0.0,9.166666666666666,8.0,10.0,22.0125,18.0,23.5,30.32857142857143,28.4,31.6,21.3875,21.1,22.4,1.2,0.1732135,0.0767865,1
4,2020-08-10,0.1812468,0.2186626,0.1731199,0.1408241,23.32667,22.96,22.18479,20.95187,10,48,25.475,21.4,29.2,729.2875,728.5,730.0,749.45,748.8,750.1,0.2125,-0.4,0.8,79.375,65.0,97.0,3.125,1,5,0.0,0.0,0.0,9.142857142857142,6.0,10.0,21.35,21.3,21.7,29.15714285714285,28.3,29.9,21.4125,20.7,22.2,1.6,0.1731199,0.0768800999999999,1
5,2020-08-11,0.1795212,0.2178842,0.1729726,0.1408246,22.77813,22.68104,22.14667,20.99042,10,48,24.8625,22.0,29.6,732.2625,730.2,734.5,752.4375,750.3,754.7,0.5625,-0.2,1.3,73.5,62.0,93.0,3.125,2,5,0.0,0.0,0.0,10.5,10.0,12.0,21.5375,21.3,21.6,30.0125,29.9,30.2,19.625,16.5,21.6,6.3,0.1729726,0.0770273999999999,1
6,2020-08-12,0.1782245,0.2168657,0.1722704,0.1404998,22.41604,22.29438,21.82125,20.85646,10,48,25.3375,23.1,29.0,736.8875,734.7,737.7,757.175,754.9,758.0,0.4,-0.5,1.4,67.625,43.0,96.0,2.875,2,4,0.0,0.0,0.0,9.5,8.0,12.0,22.2875,21.6,22.7,29.75,29.3,30.2,18.425,15.2,22.4,3.0,0.1722704,0.0777296,1
7,2020-08-13,0.1768596,0.215097,0.1714784,0.1402653,21.19417,21.38875,21.29396,20.67521,10,48,22.52857142857143,20.2,24.0,730.2428571428571,725.7,736.4,750.5142857142857,745.9,756.7,-1.04,-2.7,0.4,87.71428571428571,68.0,99.0,3.4285714285714284,2,5,0.0,0.0,0.0,10.142857142857142,6.0,14.0,20.933333333333334,20.2,22.6,27.0,24.7,29.3,20.27142857142857,16.7,23.2,58.0,0.1714784,0.0785215999999999,1
8,2020-08-14,0.1920446,0.2190329,0.1713878,0.1397381,21.70375,21.52188,21.03292,20.33854,10,48,24.1875,18.9,28.3,726.8875,725.6,730.0,747.0125,745.6,750.1,0.4875,-0.9,1.5,73.625,51.0,96.0,4.0,1,7,0.0,0.0,0.0,13.75,13.0,14.0,18.9,18.9,18.9,26.9125,24.7,28.3,18.775,17.2,21.8,11.0,0.1713878,0.0786121999999999,1
9,2020-08-15,0.1948559,0.2190757,0.1717324,0.1396215,21.67875,21.54667,21.06042,20.25604,10,48,22.8,18.5,27.9,732.5625,730.4,734.5,752.8875,750.7,754.9,0.5625,-0.1,1.7,75.0,51.0,99.0,2.375,0,4,0.0,0.0,0.0,8.833333333333334,8.0,9.0,18.125,18.1,18.3,28.375,28.3,28.5,17.625,16.3,18.3,0.0,0.1717324,0.0782675999999999,1
10,2020-08-16,0.1944061,0.2185825,0.1714027,0.1394258,21.68417,21.44563,20.92146,20.15187,10,48,24.4625,17.1,30.4,735.6375,734.8,736.9,755.9875,755.2,757.1,0.3,-0.1,0.9,72.125,45.0,99.0,1.125,0,3,0.0,0.0,0.0,4.857142857142857,2.0,6.0,17.025,16.9,17.9,29.5625,28.5,30.5,18.35,16.9,20.0,0.0,0.1714027,0.0785973,1
11,2020-08-17,0.193339,0.2211815,0.171646,0.1394072,21.76021,20.31104,21.16062,20.17687,10,48,23.7,22.3,25.9,735.925,733.9,737.4,756.2625,754.0,757.8,-0.375,-1.7,0.2,85.0,68.0,99.0,2.25,1,5,0.0,0.0,0.0,6.5,5.0,10.0,19.8375,16.9,20.8,28.360000000000003,25.5,30.5,20.9125,18.0,24.7,12.7,0.171646,0.078354,1
