DATE,T_mean,T_min,T_max,Po_mean,Po_min,Po_max,P_mean,P_min,P_max,Pa_mean,Pa_min,Pa_max,U_mean,U_min,U_max,Ff_mean,Ff_min,Ff_max,ff10_mean,ff10_min,ff10_max,ff3_mean,ff3_min,ff3_max,Tn_mean,Tn_min,Tn_max,Tx_mean,Tx_min,Tx_max,Td_mean,Td_min,Td_max,RRR_sum
2020-08-07,23.1125,17.0,27.1,735.075,733.9,736.3,755.5,754.3,756.7,-0.225,-1.0,0.5,70.75,49.0,99.0,1.5,0,3,0.0,0.0,0.0,6.875,6.0,9.0,17.087500000000002,16.8,19.1,29.1375,28.7,29.4,16.9875,15.5,19.0,0.0
2020-08-08,25.3125,18.4,30.8,730.525,729.2,732.7,750.7,749.3,753.1,-0.5625,-1.3,0.2,70.125,43.0,95.0,1.875,0,3,0.0,0.0,0.0,7.0,4.0,9.0,17.725,16.8,18.0,30.1875,28.7,31.6,18.875,16.8,21.2,0.0
2020-08-09,24.2875,21.8,27.5,728.25,727.8,728.8,748.35,748.0,748.9,-0.1374999999999999,-0.6,0.4,84.375,68.0,97.0,2.375,1,4,0.0,0.0,0.0,9.166666666666666,8.0,10.0,22.0125,18.0,23.5,30.32857142857143,28.4,31.6,21.3875,21.1,22.4,1.2
2020-08-10,25.475,21.4,29.2,729.2875,728.5,730.0,749.45,748.8,750.1,0.2125,-0.4,0.8,79.375,65.0,97.0,3.125,1,5,0.0,0.0,0.0,9.142857142857142,6.0,10.0,21.35,21.3,21.7,29.15714285714285,28.3,29.9,21.4125,20.7,22.2,1.6
2020-08-11,24.8625,22.0,29.6,732.2625,730.2,734.5,752.4375,750.3,754.7,0.5625,-0.2,1.3,73.5,62.0,93.0,3.125,2,5,0.0,0.0,0.0,10.5,10.0,12.0,21.5375,21.3,21.6,30.0125,29.9,30.2,19.625,16.5,21.6,6.3
2020-08-12,25.3375,23.1,29.0,736.8875,734.7,737.7,757.175,754.9,758.0,0.4,-0.5,1.4,67.625,43.0,96.0,2.875,2,4,0.0,0.0,0.0,9.5,8.0,12.0,22.2875,21.6,22.7,29.75,29.3,30.2,18.425,15.2,22.4,3.0
2020-08-13,22.52857142857143,20.2,24.0,730.2428571428571,725.7,736.4,750.5142857142857,745.9,756.7,-1.04,-2.7,0.4,87.71428571428571,68.0,99.0,3.4285714285714284,2,5,0.0,0.0,0.0,10.142857142857142,6.0,14.0,20.933333333333334,20.2,22.6,27.0,24.7,29.3,20.27142857142857,16.7,23.2,58.0
2020-08-14,24.1875,18.9,28.3,726.8875,725.6,730.0,747.0125,745.6,750.1,0.4875,-0.9,1.5,73.625,51.0,96.0,4.0,1,7,0.0,0.0,0.0,13.75,13.0,14.0,18.9,18.9,18.9,26.9125,24.7,28.3,18.775,17.2,21.8,11.0
2020-08-15,22.8,18.5,27.9,732.5625,730.4,734.5,752.8875,750.7,754.9,0.5625,-0.1,1.7,75.0,51.0,99.0,2.375,0,4,0.0,0.0,0.0,8.833333333333334,8.0,9.0,18.125,18.1,18.3,28.375,28.3,28.5,17.625,16.3,18.3,0.0
2020-08-16,24.4625,17.1,30.4,735.6375,734.8,736.9,755.9875,755.2,757.1,0.3,-0.1,0.9,72.125,45.0,99.0,1.125,0,3,0.0,0.0,0.0,4.857142857142857,2.0,6.0,17.025,16.9,17.9,29.5625,28.5,30.5,18.35,16.9,20.0,0.0
